CustID,Recency_Weeks,Freq_Weeks,Monetary,Age,NumberProducts,F_FOOD,F_DRINKS,F_TOYS,F_HEALTH_BEAUTY,F_SPORTS_OUTDOOR,F_HOUSE,F_Cleaning,F_MAGAZINES,F_GROSSERIES,F_PLANTS_ANIMALS,F_CLOTHES,F_BABY,F_ENTERTAINMENT,F_COMPUTERS,F_SOUND_IMAGE,F_APPLIANCES,M_FOOD,M_DRINKS,M_TOYS,M_HOUSE,M_Cleaning,M_HEALTH_BEAUTY,M_SPORTS_OUTDOOR,M_MAGAZINES,M_GROSSERIES,M_PLANTS_ANIMALS,M_CLOTHES,M_BABY,M_ENTERTAINMENT,M_COMPUTERS,M_SOUND_IMAGE,M_APPLIANCES,M_SUM,F_MAX,validate1,validate2,validate3,validate4,validate5,Loyalty
1,1,34,1831.81,49,788,26,18,1,4,0,2,26,1,28,1,1,0,0,0,0,0,892.41,74.46,29.99,19.24,283.4,35.89,0,1.58,470.87,0.99,22.98,0,0,0,0,0,1831.81,28,0,0,0,0,0,33
2,2,14,795.21,39,211,12,8,1,3,0,4,5,2,11,0,3,0,0,0,0,0,272.04,43.06,119.9,14.76,73.12,98.51,0,18.83,107.02,0,40.97,0,0,0,0,0,788.21,12,0,7,0,0,0,12
3,2,4,65.88,21,10,1,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,10.57,0,6,14,0,0,0,0,1.36,0,33.95,0,0,0,0,0,65.88,2,0,0,0,0,0,2
4,0,45,2613.19,44,1163,44,35,1,7,0,13,28,2,38,18,4,0,0,0,0,0,1593.52,138.77,9.99,60,250.7,112.8,0,16.41,357.03,47,26.97,0,0,0,0,0,2613.19,44,0,0,0,0,0,45
5,0,34,1527.54,45,453,31,11,0,3,0,10,15,3,32,0,0,0,0,0,0,0,621.98,14.66,0,68.92,180.79,41.68,0,69.21,530.3,0,0,0,0,0,0,0,1527.54,32,0,0,0,0,0,34
6,1,52,2407.06,26,1282,52,39,2,0,0,17,45,4,46,1,0,0,0,0,0,0,1134.06,167.85,23.99,72.7,590.05,0,0,32.47,384.95,0.99,0,0,0,0,0,0,2407.06,52,1,0,0,0,0,51
7,1,8,258.25,36,122,6,3,0,1,0,2,5,0,7,0,0,0,0,0,0,0,133.64,7.32,0,39.98,15.23,5.89,0,0,56.19,0,0,0,0,0,0,0,258.25,7,0,0,0,0,0,7
8,2,13,936.49,53,271,13,10,0,0,0,5,9,1,11,0,0,0,0,0,0,0,560.49,71.95,0,26.95,120.37,0,0,0.85,155.88,0,0,0,0,0,0,0,936.49,13,0,0,0,0,0,11
9,3,26,497.66,22,296,25,15,0,0,0,0,13,1,22,0,0,0,0,0,0,0,255.81,19.88,0,0,42.59,0,0,2,177.31,0,0,0,0,0,0,0,497.59,25,0,0.07,0,0,0,23
10,16,3,245.68,17,69,3,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,73.49,103.84,0,0,50.11,0,0,0,18.24,0,0,0,0,0,0,0,245.68,3,0,0,0,0,0,-13
11,1,28,1425.18,32,517,26,10,5,0,0,4,18,7,25,3,4,2,0,0,0,0,592.03,28.34,105.93,47.63,179.1,0,0,64.51,261.09,16.71,120.86,7.98,0,0,0,0,1424.18,26,0,1,0,0,0,27
12,51,1,150.98,18,43,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,34.47,0,0,45.09,51.64,0,0,0,19.78,0,0,0,0,0,0,0,150.98,1,0,0,0,0,0,-50
13,0,34,623.38,60,421,33,20,7,0,0,2,21,2,29,2,1,0,0,0,0,0,377.1,27.67,19.54,2.97,48.27,0,0,1.64,118.45,13.75,7.99,0,0,0,0,0,617.38,33,0,6,0,0,0,34
